,0
"RangeIndex(start=0, stop=1, step=1)","   COST (billion euros)  Cost per MWh produced (euros/MWh)
0             19.943476                           0.000038"
offshore,2.419290165376
onshore,8.946488175218999
pv,4.785445011116341
river,0.111375
lake,0.16385884765449996
biogas,0.9925746865917587
phs,0.22188385198986424
battery,1.1502500778990623
methanation,1.1523100426804993
